126  110  47  20,9048338964853  0  0  0  0
125  114  47  25,0812888811697  0  0  0  0
123  113  48  29,2480200208419  0  0  0  0
126  115  47  33,4151486563299  0  0  0  0
127  113  46  37,5819812423027  0  0  0  0
126  111  47  41,7490198787381  0  0  0  0
125  108  47  45,9158374648688  0  0  0  0
124  115  47  50,0825611046199  0  0  0  0
126  107  47  54,2493972431869  1  0  0  0
126  112  47  54,2493972431869  1  0  0  0
126  113  47  58,4160723308176  1  0  0  0
127  111  47  62,5828074178167  1  0  0  0
127  109  47  66,7498946063726  1  0  0  0
123  112  47  70,9167232450185  1  0  0  0
127  111  47  75,0838254334165  1  0  0  0
128  111  47  79,2505719676635  1  0  0  0
125  107  47  83,4174381059147  1  0  0  0
124  109  47  87,5843681908612  1  0  0  0
127  111  48  95,917999021063  1  0  0  0
123  113  47  100,08507910443  1  0  0  0
127  108  47  104,253426674456  1  0  0  0
125  111  47  108,42034175956  1  0  0  0
124  106  47  112,609085167525  1  0  0  0
125  111  46  116,776138803802  1  0  0  0
128  110  47  120,942832838602  1  0  0  0
124  110  47  125,109792923232  1  0  0  0
126  108  47  129,287631445985  1  0  0  0
127  109  47  133,454748634225  1  0  0  0
128  110  47  137,621839770108  1  0  0  0
124  106  47  141,788705908359  1  0  0  0
127  108  47  145,955695597941  1  0  0  0
125  107  47  150,122501736824  1  0  0  0
124  110  47  154,289300375786  1  0  0  0
126  105  47  158,456005068368  1  0  0  0
124  109  47  162,684265560363  1  0  0  0
124  108  47  166,862396580036  1  0  0  0
126  106  47  171,029473110809  1  0  0  0
127  105  47  175,196583193861  1  0  0  0
126  105  48  179,363531831244  1  0  0  0
125  109  47  179,363531831244  1  0  0  0
127  108  47  209,924363690909  1  0  0  0
128  107  47  218,258478463385  1  0  0  0
128  108  47  222,425266049831  1  0  0  0
124  110  47  226,591933242808  1  0  0  0
126  108  48  230,758957274134  1  0  0  0
128  110  47  234,925725913411  1  0  0  0
124  111  47  239,092554552057  1  0  0  0
126  108  47  243,259653187861  1  0  0  0
127  108  47  247,426331828086  1  0  0  0
127  107  47  251,593295465311  1  0  0  0
128  107  47  255,76010555152  1  0  0  0
125  103  47  259,926994189535  1  0  0  0
128  106  47  264,093736776455  1  0  0  0
125  105  48  268,260786860138  1  0  0  0
126  106  47  272,427506552563  1  0  0  0
126  108  47  276,594530189156  1  0  0  0
126  105  48  280,761287381185  1  0  0  0
128  107  47  280,761287381185  1  0  0  0
126  107  48  284,928356412038  1  0  0  0
127  107  47  289,095342549026  1  0  0  0
129  105  47  293,262133688066  1  0  0  0
128  108  48  297,429164824581  1  0  0  0
127  106  47  301,5959484637  1  0  0  0
127  108  47  305,773963431964  1  0  0  0
125  106  47  309,940766018252  1  0  0  0
127  108  47  314,107804654688  1  0  0  0
127  103  47  318,274921842928  1  0  0  0
126  111  47  322,44182192819  1  0  0  0
125  109  47  326,60868056652  1  0  0  0
126  107  47  330,775745255313  1  0  0  0
127  106  47  339,109620425048  1  0  0  0
125  104  47  343,276464063536  1  0  0  0
127  108  47  347,443311649351  1  0  0  0
127  105  47  351,610174235008  1  0  0  0
129  107  47  355,77719037168  1  0  0  0
129  107  47  359,944146508984  1  0  0  0
126  109  47  364,111267644551  1  0  0  0
128  103  47  368,27828772855  1  0  0  0
126  108  47  372,444996368459  1  0  0  0
127  108  46  376,611948953169  1  0  0  0
127  109  46  380,779055088894  1  0  0  0
126  104  46  384,94574122904  1  0  0  0
126  108  47  389,112483421227  1  0  0  0
125  107  46  393,279571004516  1  0  0  0
127  107  46  397,44800067894  1  0  0  0
128  107  46  401,614698266334  1  0  0  0
128  108  46  405,781417958758  1  0  0  0
127  108  46  409,948482647551  1  0  0  0
128  110  45  414,11547628446  1  0  0  0
126  108  45  418,282552420501  1  0  0  0
128  108  45  418,282552420501  1  0  0  0
126  108  45  445,071201487353  1  0  0  0
127  106  44  453,404884817002  1  0  0  0
126  107  45  457,571882006505  1  0  0  0
128  109  44  461,73898814223  1  0  0  0
128  110  44  465,905779281271  1  0  0  0
127  108  44  470,072574367638  1  0  0  0
127  107  44  474,239380901254  1  0  0  0
126  103  44  478,4064945369  1  0  0  0
128  106  43  482,573263176177  1  0  0  0
126  109  43  486,740118261913  1  0  0  0
129  105  43  490,906905848359  1  0  0  0
127  106  43  495,07381303881  1  0  0  0
127  107  42  499,240761676193  1  0  0  0
126  104  43  503,407867811918  1  0  0  0
127  103  43  507,574778949695  1  0  0  0
126  106  42  511,741472589762  1  0  0  0
128  102  43  515,908327675498  1  0  0  0
129  102  43  520,075317759813  1  0  0  0
126  108  42  520,075317759813  1  0  0  0
126  111  42  524,242397448448  1  0  0  0
125  108  42  528,409177140241  1  0  0  0
127  112  42  532,57593433227  1  0  0  0
128  106  41  536,742672971864  1  0  0  0
128  107  42  540,909685555942  1  0  0  0
125  104  42  545,076514194588  1  0  0  0
126  106  42  549,243346385828  1  0  0  0
126  110  41  553,410070025579  1  0  0  0
126  106  41  557,576801165251  1  0  0  0
127  105  41  561,743832301765  1  0  0  0
127  113  41  565,910634493321  1  0  0  0
126  104  41  570,077684182272  1  0  0  0
129  114  41  574,244808870433  1  0  0  0
126  109  41  582,578492200082  1  0  0  0
127  107  41  586,745279391796  1  0  0  0
