125  120  49  25,1331289941856  0  0  0  0
129  118  49  29,3002151284652  0  0  0  0
127  120  49  33,4669598203184  0  0  0  0
129  119  49  37,6505757153515  0  0  0  0
132  120  49  58,3556570891737  1  0  0  0
128  119  49  58,3556570891737  1  0  0  0
129  124  49  66,6892704184545  1  0  0  0
125  120  49  70,8561315559907  1  0  0  0
126  120  49  75,0231797960819  1  0  0  0
127  118  49  79,1900294864154  1  0  0  0
129  117  49  83,3570856211292  1  0  0  0
125  120  49  87,5242388597007  1  0  0  0
128  116  49  91,7663499607243  1  0  0  0
126  120  49  95,933087152686  1  0  0  0
131  120  49  95,933087152686  1  0  0  0
126  117  49  100,343203322057  1  0  0  0
128  122  49  104,510173010654  1  0  0  0
131  115  49  108,684729036817  1  0  0  0
128  122  50  112,851548727584  1  0  0  0
128  121  50  117,018522363492  1  0  0  0
130  116  50  121,185600603149  1  0  0  0
128  116  50  125,352611738514  1  0  0  0
128  119  50  129,521092852603  1  0  0  0
128  118  50  133,688096488077  1  0  0  0
127  121  50  137,854964730774  1  0  0  0
129  118  50  142,022057970214  1  0  0  0
129  122  50  150,3558552442  1  0  0  0
127  121  50  154,522910984183  1  0  0  0
126  120  50  158,689937119331  1  0  0  0
125  121  50  162,866169173867  1  0  0  0
130  121  50  167,032932812815  1  0  0  0
130  118  50  171,199640005211  1  0  0  0
124  121  50  175,366328250512  1  0  0  0
125  123  50  179,533297939109  1  0  0  0
130  118  50  183,700294074691  1  0  0  0
128  122  50  187,867278763071  1  0  0  0
124  116  50  192,03405345449  1  0  0  0
127  120  50  196,201083142218  1  0  0  0
126  120  50  200,3679778319  1  0  0  0
128  121  50  204,53465502473  1  0  0  0
124  120  50  208,701617213435  1  0  0  0
130  118  50  212,868328353142  1  0  0  0
128  123  50  217,035005545972  1  0  0  0
127  123  50  221,201746290514  1  0  0  0
127  125  50  225,368802425228  1  0  0  0
126  122  51  229,535944611328  1  0  0  0
129  122  50  233,702820748647  1  0  0  0
126  122  51  237,869790437244  1  0  0  0
129  125  50  237,869790437244  1  0  0  0
126  125  50  242,038796149003  1  0  0  0
126  121  51  246,205476894413  1  0  0  0
129  124  50  250,372544081599  1  0  0  0
124  121  51  254,539476270738  1  0  0  0
129  122  51  258,706543457924  1  0  0  0
126  124  51  283,358364155256  1  0  0  0
130  123  50  287,525386343093  1  0  0  0
125  125  50  291,692089982908  1  0  0  0
129  122  51  295,859029671939  1  0  0  0
127  123  50  300,026130806002  1  0  0  0
123  124  50  304,233824905166  1  0  0  0
128  125  50  308,400734989362  1  0  0  0
127  121  50  312,567532180455  1  0  0  0
126  124  50  316,734265425106  1  0  0  0
128  119  50  320,901343664763  1  0  0  0
126  123  50  329,235178043476  1  0  0  0
128  124  50  333,401997734243  1  0  0  0
128  127  50  337,578496232291  1  0  0  0
128  121  50  341,745308423168  1  0  0  0
125  126  50  345,912349163367  1  0  0  0
128  123  50  350,079093855221  1  0  0  0
128  125  50  354,245827494602  1  0  0  0
126  127  49  358,412643238058  1  0  0  0
123  124  50  362,579680425678  1  0  0  0
125  123  49  366,746755112755  1  0  0  0
125  123  50  370,913454805259  1  0  0  0
126  123  49  375,080375547196  1  0  0  0
126  122  49  379,247097739375  1  0  0  0
125  123  49  383,414202426018  1  0  0  0
123  125  49  387,580965670234  1  0  0  0
127  123  49  391,747841807553  1  0  0  0
126  124  49  395,91486754797  1  0  0  0
126  123  49  400,081747237869  1  0  0  0
128  125  49  404,248446930373  1  0  0  0
125  124  49  404,248446930373  1  0  0  0
126  122  48  408,415417013701  1  0  0  0
125  128  49  412,582180652649  1  0  0  0
125  127  48  416,749094289425  1  0  0  0
128  120  48  420,916120029842  1  0  0  0
127  125  48  425,083161164773  1  0  0  0
125  116  48  429,250138353261  1  0  0  0
127  129  48  433,417063042509  1  0  0  0
125  126  48  437,583811681673  1  0  0  0
126  128  47  441,750612425347  1  0  0  0
127  133  48  445,9173571172  1  0  0  0
125  134  48  450,084221807316  1  0  0  0
124  127  48  454,251063997758  1  0  0  0
126  129  48  458,418067633232  1  0  0  0
122  127  47  462,584966270225  1  0  0  0
124  128  47  470,918440654149  1  0  0  0
128  124  47  475,085361396085  1  0  0  0
127  123  47  479,252079640953  1  0  0  0
125  120  47  483,419041829658  1  0  0  0
126  132  47  487,585749022054  1  0  0  0
129  125  47  491,752793709565  1  0  0  0
124  126  47  510,028652743184  1  0  0  0
125  132  47  510,028652743184  1  0  0  0
128  126  47  518,362122785065  1  0  0  0
123  128  47  522,529066421407  1  0  0  0
125  122  46  522,529066421407  1  0  0  0
129  128  46  526,695964663669  1  0  0  0
124  129  47  530,863061850421  1  0  0  0
125  128  46  535,03005009138  1  0  0  0
125  128  46  539,208262117259  1  0  0  0
124  126  47  543,40889526599  1  0  0  0
127  128  46  547,575651405046  1  0  0  0
130  127  46  551,74255754193  1  0  0  0
125  125  46  555,909298681203  1  0  0  0
129  124  46  560,076242317546  1  0  0  0
127  125  46  564,24293845747  1  0  0  0
127  127  46  568,410001697344  1  0  0  0
125  127  46  572,576877834663  1  0  0  0
126  126  46  576,743993573777  1  0  0  0
125  127  46  580,91099326194  1  0  0  0
127  124  46  585,078026502248  1  0  0  0
127  127  46  589,244801193667  1  0  0  0
125  129  46  597,578564126046  1  0  0  0
125  129  46  601,74562381334  1  0  0  0
127  131  46  605,912428504324  1  0  0  0
126  131  46  610,079199643163  1  0  0  0
123  124  46  614,246004334148  1  0  0  0
128  127  46  618,413079021225  1  0  0  0
123  130  46  622,58019870765  1  0  0  0
125  131  46  626,747153396464  1  0  0  0
126  129  46  630,914074138401  1  0  0  0
126  130  46  635,080983433134  1  0  0  0
126  124  46  639,247762071865  1  0  0  0
128  124  46  643,414664261438  1  0  0  0
123  125  46  647,581585398106  1  0  0  0
125  125  46  651,748390089091  1  0  0  0
125  126  46  655,952994232978  1  0  0  0
126  123  46  660,119989973829  1  0  0  0
124  132  46  664,286914663077  1  0  0  0
122  126  46  668,453820799962  1  0  0  0
123  130  46  672,620775488776  1  0  0  0
121  125  46  676,787509128157  1  0  0  0
124  128  46  680,954246320119  1  0  0  0
125  134  46  685,121156009584  1  0  0  0
127  129  46  689,288260696227  1  0  0  0
128  131  46  689,288260696227  1  0  0  0
126  130  46  693,455102886669  1  0  0  0
122  122  46  697,621904025073  1  0  0  0
126  125  46  701,788727663152  1  0  0  0
126  126  46  705,955513407043  1  0  0  0
121  129  46  710,122423096508  1  0  0  0
126  128  46  725,707118975909  1  0  0  0
124  126  47  734,040555860375  1  0  0  0
128  126  46  738,207233053206  1  0  0  0
126  122  46  742,374097348591  1  0  0  0
123  130  46  742,374097348591  1  0  0  0
124  124  46  746,542413465068  1  0  0  0
127  127  47  750,709180656595  1  0  0  0
124  127  46  754,876071793697  1  0  0  0
125  126  46  759,043007930148  1  0  0  0
124  127  47  763,20979406877  1  0  0  0
124  128  47  767,376898755412  1  0  0  0
125  127  47  771,543759892949  1  0  0  0
129  125  47  775,710433533199  1  0  0  0
125  126  47  779,877136778283  1  0  0  0
126  126  47  784,043986468617  1  0  0  0
125  128  46  788,211109707622  1  0  0  0
124  126  47  792,377783347872  1  0  0  0
124  126  47  796,544483040377  1  0  0  0
123  127  47  800,711186285461  1  0  0  0
122  128  47  804,878309919198  1  0  0  0
126  126  47  809,045144609749  1  0  0  0
122  123  47  817,378731492044  1  0  0  0
127  125  47  821,545843678578  1  0  0  0
125  125  47  825,712876918887  1  0  0  0
129  128  47  829,879865554577  1  0  0  0
126  127  47  834,046749191788  1  0  0  0
124  129  47  838,213669933725  1  0  0  0
122  128  47  842,390419480771  1  0  0  0
125  131  47  846,557190224878  1  0  0  0
124  128  47  850,724140966381  1  0  0  0
127  129  47  854,890949604677  1  0  0  0
121  128  47  859,057821794685  1  0  0  0
126  126  47  863,224945428421  1  0  0  0
124  126  47  867,392008668296  1  0  0  0
127  123  47  871,559045855915  1  0  0  0
124  123  48  875,725910546032  1  0  0  0
126  136  48  879,892677737559  1  0  0  0
124  130  48  884,059347430498  1  0  0  0
124  130  48  888,226287119528  1  0  0  0
126  129  47  892,393301807474  1  0  0  0
126  129  47  896,560065446421  1  0  0  0
123  124  48  896,560065446421  1  0  0  0
122  121  48  900,726847637732  1  0  0  0
123  124  48  904,8939298247  1  0  0  0
124  126  47  909,060715963322  1  0  0  0
124  128  47  913,227734203847  1  0  0  0
125  125  48  917,394707839755  1  0  0  0
122  129  48  921,561643976206  1  0  0  0
124  121  48  925,72844866719  1  0  0  0
122  127  48  929,89517480668  1  0  0  0
125  123  48  952,488275301278  1  0  0  0
124  122  48  960,822203231269  1  0  0  0
125  126  48  964,989127920517  1  0  0  0
126  126  48  969,155846165384  1  0  0  0
126  123  48  973,322684408515  1  0  0  0
122  129  48  977,489796595049  1  0  0  0
121  119  48  981,656867334815  1  0  0  0
125  127  48  985,823968074146  1  0  0  0
122  121  48  989,9910767081  1  0  0  0
126  130  48  994,157832847156  1  0  0  0
125  123  48  998,324750036513  1  0  0  0
123  128  48  1002,49153617513  1  0  0  0
124  122  48  1002,49153617513  1  0  0  0
127  130  48  1006,65835981321  1  0  0  0
124  125  48  1010,8252659501  1  0  0  0
123  117  48  1014,99206669377  1  0  0  0
125  122  48  1019,15894638367  1  0  0  0
121  119  48  1023,3339445087  1  0  0  0
119  126  48  1027,50104169545  3  0  0  0
122  124  48  1031,66807888307  3  0  0  0
125  117  48  1035,83493607329  3  0  0  0
123  130  48  1040,00162471333  3  0  0  0
123  128  48  1044,16855690247  3  0  0  0
123  124  48  1048,33558303761  3  0  0  0
125  128  48  1052,50254127901  3  0  0  0
123  126  48  1056,66960846619  3  0  0  0
126  124  48  1060,84179807924  3  0  0  0
121  122  48  1065,0088992133  3  0  0  0
121  130  48  1073,34290608952  3  0  0  0
126  131  48  1077,50957933504  3  0  0  0
125  125  49  1081,68350142301  3  0  0  0
121  129  49  1085,85017861584  3  0  0  0
121  122  48  1090,01687475576  3  0  0  0
121  128  49  1094,18370194642  3  0  0  0
123  121  49  1098,35078413339  3  0  0  0
123  119  48  1102,51770882264  3  0  0  0
122  128  49  1106,69449586914  3  0  0  0
123  124  49  1110,86121450874  3  0  0  0
124  132  48  1115,028112751  3  0  0  0
123  120  49  1119,1951763856  3  0  0  0
124  121  49  1123,36219462613  3  0  0  0
124  127  49  1127,52893181809  3  0  0  0
123  124  49  1131,69593545357  3  0  0  0
125  124  49  1135,86278119659  3  0  0  0
120  118  49  1140,0296648338  3  0  0  0
122  122  49  1144,19667596916  3  0  0  0
122  127  49  1148,36366065754  3  0  0  0
119  120  49  1152,53052929497  3  0  0  0
122  119  49  1156,70007144633  3  0  0  0
120  123  49  1160,86704468751  3  0  0  0
121  119  49  1165,0442702803  3  0  0  0
124  127  49  1169,21131852039  3  0  0  0
123  122  49  1173,37965674181  3  0  0  0
123  123  49  1177,54676892834  3  0  0  0
121  125  49  1177,54676892834  3  0  0  0
119  119  49  1181,7137875636  3  0  0  0
127  125  49  1185,88085119821  3  0  0  0
122  126  49  1190,04764088941  3  0  0  0
120  121  49  1194,23398279762  3  0  0  0
122  125  49  1198,40104643222  3  0  0  0
122  122  49  1202,56791506965  3  0  0  0
120  123  49  1206,73479870686  3  0  0  0
122  128  49  1210,90152089904  3  0  0  0
122  118  49  1215,07639547322  3  0  0  0
119  125  49  1219,24309871831  3  0  0  0
122  123  49  1223,40987696231  3  0  0  0
122  115  49  1227,57656560234  3  0  0  0
123  122  49  1231,74334779365  3  0  0  0
123  120  49  1235,91034748181  3  0  0  0
122  127  49  1240,07715612011  3  0  0  0
125  125  49  1248,41130549426  3  0  0  0
126  120  49  1252,57822268362  3  0  0  0
124  128  49  1256,74512132061  3  0  0  0
123  119  49  1260,91221100747  3  0  0  0
123  124  49  1265,07910214457  3  0  0  0
120  119  49  1269,24617327907  3  0  0  0
123  120  49  1273,41299257511  3  0  0  0
122  127  49  1277,579778319  3  0  0  0
122  120  50  1281,7468609007  3  0  0  0
120  123  50  1285,91383808918  3  0  0  0
125  125  49  1290,08088632928  3  0  0  0
123  121  49  1294,24785957045  3  0  0  0
119  122  50  1298,41476531261  3  0  0  0
121  127  50  1302,58186999925  3  0  0  0
121  119  49  1306,74875324173  3  0  0  0
120  129  50  1310,92165139715  3  0  0  0
123  120  50  1315,08858358629  3  0  0  0
130  116  50  1319,25811073787  3  0  0  0
132  117  50  1323,42496792809  3  0  0  0
137  108  49  1327,59164117361  3  0  0  0
133  100  49  1331,75836336579  3  0  0  0
134  97  49  1335,92543805287  3  0  0  0
133  99  49  1340,09649162973  3  0  0  0
131  96  49  1340,09649162973  3  0  0  0
130  101  50  1344,26710626557  3  0  0  0
134  97  49  1348,4355194859  3  0  0  0
134  97  49  1352,60354271188  3  0  0  0
134  103  49  1356,77034345555  3  0  0  0
130  99  49  1360,93717814611  3  0  0  0
132  98  49  1365,10399428429  3  0  0  0
130  103  49  1373,59186143358  3  0  0  0
132  100  49  1377,76405815179  3  0  0  0
133  101  49  1381,93085534288  3  0  0  0
134  101  49  1386,09777253224  3  0  0  0
131  98  49  1390,26472722105  3  0  0  0
133  102  48  1394,43157691139  3  0  0  0
130  102  49  1398,59858054686  3  0  0  0
131  100  48  1402,76530629162  3  0  0  0
132  100  48  1406,93197993187  3  0  0  0
131  106  48  1411,09900606702  3  0  0  0
134  102  48  1419,43300149603  3  0  0  0
132  100  48  1423,6000051315  3  0  0  0
131  102  47  1427,76667837702  3  0  0  0
131  96  47  1431,93355056703  3  0  0  0
131  102  47  1436,10022025997  3  0  0  0
124  94  47  1440,26725744759  3  0  0  0
125  88  47  1444,43934561473  3  0  0  0
124  86  47  1448,60607885938  3  0  0  0
122  87  47  1452,77308249486  3  0  0  0
124  80  47  1456,9400742884  3  0  0  0
123  86  47  1461,10683398003  3  0  0  0
125  87  46  1465,273665118  3  0  0  0
126  84  46  1469,44041730975  3  0  0  0
124  83  46  1473,60736055136  3  0  0  0
126  88  46  1477,77446918531  3  0  0  0
121  90  46  1481,94149532046  3  0  0  0
126  90  46  1486,10833395832  3  0  0  0
125  91  46  1490,27504115072  3  0  0  0
121  82  46  1494,44214978467  3  0  0  0
121  82  0  1498,6152508319  3  0  0  0
123  85  45  1498,6152508319  3  0  0  0
123  85  0  1502,78234407134  3  0  0  0
122  82  45  1506,94938125896  3  0  0  0
125  86  45  1511,11642949905  3  0  0  0
123  85  45  1515,2832452425  3  0  0  0
123  85  0  1519,45025637787  3  0  0  0
121  85  45  1523,61713606777  3  0  0  0
124  78  45  1527,78400431046  3  0  0  0
123  86  45  1531,95099649873  3  0  0  0
120  77  45  1536,11801868657  3  0  0  0
123  81  45  1540,28469943198  3  0  0  0
123  81  0  1544,45176267186  3  0  0  0
125  78  44  1548,62184086809  3  0  0  0
125  78  0  1552,78852911339  3  0  0  0
126  71  44  1556,95537485642  3  0  0  0
121  74  44  1561,12211954827  3  0  0  0
123  88  44  1565,28922778749  3  0  0  0
123  88  0  1573,6232421636  3  0  0  0
119  77  44  1577,79015185306  3  0  0  0
119  77  0  1581,95715154123  3  0  0  0
119  77  0  1601,23215756088  3  0  0  0
119  76  43  1601,23215756088  3  0  0  0
128  72  43  1605,3989322523  3  0  0  0
140  83  43  1609,5657815479  3  0  0  0
149  74  43  1613,7325712391  3  0  0  0
149  74  0  1617,89965342607  3  0  0  0
149  74  0  1622,0664206176  3  0  0  0
166  15  43  1626,23313530988  3  0  0  0
176  1  42  1630,39991355388  3  0  0  0
179  1  42  1634,56680429625  3  0  0  0
177  39328  41  1642,90290719476  3  0  0  0
177  39328  42  1647,07050687424  3  0  0  0
176  39328  42  1651,23754050928  3  0  0  0
178  39328  41  1655,40422875458  3  0  0  0
175  39328  42  1659,5712430478  3  0  0  0
178  39328  41  1663,74337266171  3  0  0  0
174  39328  41  1667,91025629892  3  0  0  0
175  39328  41  1672,0769899383  3  0  0  0
175  39328  0  1676,24392962733  3  0  0  0
179  39328  41  1680,41084642196  3  0  0  0
177  39328  41  1684,57772611186  3  0  0  0
183  39328  41  1688,74442185705  3  0  0  0
183  39328  0  1692,9795805587  3  0  0  0
183  39328  0  1697,14662919352  3  0  0  0
179  39328  41  1701,31373388017  3  0  0  0
179  39328  0  1701,31373388017  3  0  0  0
179  39328  0  1705,48043357267  3  0  0  0
176  39328  41  1709,647283263  3  0  0  0
179  39328  41  1713,81411795356  3  0  0  0
178  39328  41  1717,98084764563  3  0  0  0
178  39328  0  1722,14781378164  3  0  0  0
178  39328  0  1726,31480952249  3  0  0  0
177  39328  41  1730,48171565938  3  0  0  0
175  39296  41  1734,64877534667  3  0  0  0
178  39296  41  1738,81550859132  3  0  0  0
178  39296  0  1742,98243328057  3  0  0  0
175  39328  41  1747,14944046862  3  0  0  0
175  39328  0  1751,31635015809  3  0  0  0
179  39328  41  1755,54527250263  3  0  0  0
173  39328  40  1759,71226824349  3  0  0  0
175  39328  41  1763,87898648835  3  0  0  0
175  39328  0  1768,04583262611  3  0  0  0
177  39328  0  1776,37979805555  3  0  0  0
178  39328  41  1780,54686169016  3  0  0  0
179  39328  40  1784,71372638028  3  0  0  0
179  39328  0  1788,88065856942  3  0  0  0
179  39328  0  1793,04757575877  3  0  0  0
177  39328  40  1797,21464649854  3  0  0  0
180  39328  41  1801,38154513553  3  0  0  0
174  39328  40  1805,54838732597  3  0  0  0
175  39328  41  1811,80945065269  3  0  0  0
177  39328  41  1811,80945065269  3  0  0  0
173  39328  40  1815,97627034346  3  0  0  0
175  39328  40  1820,14319108539  3  0  0  0
178  39328  41  1824,3100632754  3  0  0  0
178  39328  0  1828,47677796769  3  0  0  0
176  39296  40  1832,64350410718  3  0  0  0
176  39296  0  1836,81032024536  3  0  0  0
176  39296  0  1840,97733138073  3  0  0  0
171  39328  40  1845,14406857269  3  0  0  0
171  39328  0  1849,31104931376  3  0  0  0
171  39328  0  1853,47815755298  3  0  0  0
172  39328  40  1857,64505579524  3  0  0  0
175  39328  41  1865,97882267493  3  0  0  0
177  39296  40  1870,1459048619  3  0  0  0
177  39296  0  1874,31282205126  3  0  0  0
177  39296  0  1878,47991173812  3  0  0  0
177  39328  40  1882,64669392943  3  0  0  0
177  39328  40  1886,81341967419  3  0  0  0
180  39328  40  1890,98027331183  3  0  0  0
172  39328  40  1895,1470030039  3  0  0  0
172  39328  0  1899,31394269293  3  0  0  0
174  39328  40  1903,48098382787  3  0  0  0
176  39328  41  1907,6476535208  3  0  0  0
176  39328  0  1911,81458570994  3  0  0  0
176  39328  0  1915,98142395307  3  0  0  0
176  39328  0  1920,15904348753  3  0  0  0
176  39328  0  1924,32582962615  3  0  0  0
175  39328  40  1928,49264181703  3  0  0  0
175  39328  0  1932,65950650714  3  0  0  0
183  39328  40  1936,82658119422  3  0  0  0
176  39296  40  1940,99339693768  3  0  0  0
174  39328  41  1945,1601641292  3  0  0  0
174  39328  0  1949,32684132203  3  0  0  0
174  39328  0  1953,50941473215  3  0  0  0
178  39328  41  1953,50941473215  3  0  0  0
178  39328  0  1957,67650836633  3  0  0  0
178  39296  40  1961,8434105559  3  0  0  0
170  39328  40  1966,01041774395  3  0  0  0
167  39328  41  1970,28570086486  3  0  0  0
165  39328  41  1974,45269660571  3  0  0  0
165  39328  0  1978,61974129322  3  0  0  0
165  39328  0  1982,78685742706  3  0  0  0
165  39328  0  1986,95365817074  3  0  0  0
136  12  42  1991,12049641387  3  0  0  0
136  12  0  1995,28751070708  3  0  0  0
136  12  0  1999,45458894674  3  0  0  0
136  12  0  2003,62134113848  3  0  0  0
136  12  0  2007,79206472012  3  0  0  0
136  12  0  2011,95911690752  3  0  0  0
136  12  0  2035,82662500937  3  0  0  0
124  28  42  2039,99375969558  3  0  0  0
124  28  0  2044,16063938548  3  0  0  0
124  28  0  2048,32772551976  3  0  0  0
124  28  0  2052,4947477076  3  0  0  0
124  28  0  2056,66531379151  3  0  0  0
124  28  0  2060,91385624682  3  0  0  0
124  28  0  2065,080923434  3  0  0  0
124  28  0  2069,24799772635  3  0  0  0
124  28  0  2073,41511386019  3  0  0  0
124  28  0  2081,74869363733  3  0  0  0
127  50  42  2085,91551293336  3  0  0  0
127  50  0  2090,08230262457  3  0  0  0
127  50  0  2094,24936586444  3  0  0  0
127  50  0  2098,41641410453  3  0  0  0
125  59  42  2102,59450218484  3  0  0  0
125  59  0  2106,76144937376  3  0  0  0
126  65  42  2110,92822406518  3  0  0  0
126  65  0  2115,09505875573  3  0  0  0
126  65  0  2119,26188949897  3  0  0  0
126  65  0  2123,46860505966  3  0  0  0
126  65  0  2127,63568724663  3  0  0  0
126  65  0  2131,80261548846  3  0  0  0
126  65  0  2135,96942017944  3  0  0  0
126  65  0  2140,13641947288  3  0  0  0
126  65  0  2144,30320521677  3  0  0  0
124  71  43  2148,46988596218  3  0  0  0
123  71  43  2152,63684815088  3  0  0  0
123  71  0  2156,80353679091  3  0  0  0
123  71  0  2160,9706154253  3  0  0  0
126  66  43  2165,1374951152  3  0  0  0
124  68  43  2169,30452125035  3  0  0  0
124  66  43  2173,47140094025  3  0  0  0
124  66  0  2173,47140094025  3  0  0  0
124  66  0  2177,63845668023  3  0  0  0
124  74  43  2181,80636780257  3  0  0  0
127  75  44  2185,97306038992  3  0  0  0
124  75  43  2190,14209254866  3  0  0  0
124  75  0  2194,30909973671  3  0  0  0
127  75  44  2198,47583298136  3  0  0  0
131  76  44  2202,6426712245  3  0  0  0
127  70  44  2206,80961446611  3  0  0  0
126  74  44  2210,97629915883  3  0  0  0
126  81  44  2215,14310779712  3  0  0  0
126  101  44  2219,31021998366  3  0  0  0
124  110  44  2223,47716362  3  0  0  0
123  124  44  2227,64422725461  3  0  0  0
121  138  44  2231,8112869419  3  0  0  0
123  137  44  2235,97813307965  3  0  0  0
121  142  44  2244,31186206515  3  0  0  0
120  146  44  2263,82409715123  3  0  0  0
124  142  44  2268,01986642299  3  0  0  0
126  145  44  2272,18693361017  3  0  0  0
125  144  44  2276,36471814224  3  0  0  0
124  143  44  2280,53166533116  3  0  0  0
122  140  44  2284,70180747384  3  0  0  0
122  145  45  2288,86885966124  3  0  0  0
122  139  44  2293,0356982991  3  0  0  0
