127  183  0  20,8409273739929  0  0  0  0
127  183  0  25,0078791658608  0  0  0  0
127  183  0  29,174905956051  0  0  0  0
127  183  0  33,3441866431935  0  0  0  0
127  183  0  37,5112994840905  0  0  0  0
127  183  0  41,6783077220641  0  0  0  0
128  163  41  45,8450420187969  0  0  0  0
126  154  41  50,0117088170396  0  0  0  0
128  148  42  54,1786681087397  1  0  0  0
131  141  42  58,3456913463778  1  0  0  0
127  134  42  62,5124781419363  1  0  0  0
127  130  42  66,6792759898792  1  0  0  0
127  125  42  70,9771113014577  1  0  0  0
126  124  42  75,1539703717154  1  0  0  0
128  116  42  79,3210082142899  1  0  0  0
127  119  42  83,4878775080031  1  0  0  0
128  117  42  87,6547618013807  1  0  0  0
128  116  42  91,8215225448904  1  0  0  0
129  113  42  95,9884853891426  1  0  0  0
127  111  42  100,155587177655  1  0  0  0
127  114  42  104,329948803777  1  0  0  0
126  114  42  108,49681809749  1  0  0  0
127  112  43  108,49681809749  1  0  0  0
126  113  43  112,663724890364  1  0  0  0
128  112  42  116,830792732268  1  0  0  0
128  113  43  120,997823469738  1  0  0  0
129  115  42  125,164539214254  1  0  0  0
127  115  43  129,331333509645  1  0  0  0
127  112  42  133,498345300171  1  0  0  0
127  114  42  137,665207094052  1  0  0  0
126  113  42  141,832297435452  1  0  0  0
126  116  43  145,999207780879  1  0  0  0
126  114  43  150,170498423062  1  0  0  0
126  115  43  154,337487714091  1  0  0  0
125  117  43  158,504282009481  1  0  0  0
128  114  43  162,671312352224  1  0  0  0
127  114  43  166,838136646943  1  0  0  0
127  114  43  195,057481477388  1  0  0  0
125  114  43  199,224557213852  1  0  0  0
129  114  43  203,391419007733  1  0  0  0
129  115  43  207,574723986437  1  0  0  0
126  116  43  211,741413284177  1  0  0  0
128  116  43  220,0751743711  1  0  0  0
126  115  43  224,241983666155  1  0  0  0
127  115  43  228,408856907148  1  0  0  0
123  115  43  232,57575620019  1  0  0  0
125  114  43  236,742666545617  1  0  0  0
128  114  44  240,909404394902  1  0  0  0
128  114  44  245,076389738651  1  0  0  0
127  113  44  249,243180086761  1  0  0  0
128  114  44  253,410158325406  1  0  0  0
126  111  44  257,577294060528  1  0  0  0
127  112  44  261,744275851724  1  0  0  0
125  113  44  265,976375133714  1  0  0  0
127  111  44  270,143071931286  1  0  0  0
126  115  44  274,310031222986  1  0  0  0
127  114  44  278,476953015525  1  0  0  0
126  114  44  282,643919807057  1  0  0  0
127  111  44  286,810695155503  1  0  0  0
126  114  44  290,977635500258  1  0  0  0
126  114  0  295,144523346188  1  0  0  0
126  110  44  299,311336588524  1  0  0  0
127  114  44  303,478322327001  1  0  0  0
