129  124  48  20,834849746782  0  0  0  0
130  124  48  25,0018540374755  0  0  0  0
129  125  48  29,1686522801464  0  0  0  0
127  122  48  33,3355180213074  0  0  0  0
128  124  48  37,5026423093168  0  0  0  0
125  122  48  41,6695116030299  0  0  0  0
129  122  48  45,8366244439269  0  0  0  0
127  125  48  50,0034376862623  1  0  0  0
126  123  48  54,1703669786334  1  0  0  0
127  125  48  58,3373077181168  1  0  0  0
127  123  49  62,5042634572648  1  0  0  0
129  124  48  66,6711852498036  1  0  0  0
130  123  49  70,8382270396583  1  0  0  0
130  122  48  75,0051977784708  1  0  0  0
130  123  48  79,1721870694998  1  0  0  0
130  120  48  83,3390188640517  1  0  0  0
130  125  49  83,3390188640517  1  0  0  0
130  121  48  87,5057685551771  1  0  0  0
128  123  48  91,6726153493935  1  0  0  0
129  121  48  95,8397360848507  1  0  0  0
129  122  48  100,006507880745  1  0  0  0
128  122  49  104,173223230533  1  0  0  0
130  122  49  108,339942527601  1  0  0  0
128  125  48  112,506834320811  1  0  0  0
129  122  49  116,673685062308  1  0  0  0
129  125  49  120,840772245884  1  0  0  0
129  124  49  125,007607592988  1  0  0  0
128  121  48  129,174656882675  1  0  0  0
126  123  49  133,341454730618  1  0  0  0
127  123  49  137,508132975973  1  0  0  0
128  124  49  141,675017269351  1  0  0  0
128  122  49  145,841807617461  1  0  0  0
129  123  49  154,175433707404  1  0  0  0
128  122  49  158,342464050146  1  0  0  0
129  123  49  162,509539391882  1  0  0  0
127  124  49  166,676536182743  1  0  0  0
127  120  49  170,843495474443  1  0  0  0
130  122  48  175,010604762788  1  0  0  0
129  121  49  179,177463004117  1  0  0  0
129  120  49  183,344369796991  1  0  0  0
129  124  49  187,511104093724  1  0  0  0
130  122  49  191,678126936634  1  0  0  0
129  123  49  195,845142279712  1  0  0  0
128  123  49  200,011929075271  1  0  0  0
128  124  49  204,178929418684  1  0  0  0
127  125  49  236,641334733302  1  0  0  0
123  121  49  236,641334733302  1  0  0  0
126  122  49  244,975204370429  1  0  0  0
129  124  49  249,141980113603  1  0  0  0
127  121  49  253,30886440698  1  0  0  0
128  124  48  257,475906196835  1  0  0  0
127  123  49  261,642914434809  1  0  0  0
128  122  49  265,809960171944  1  0  0  0
129  124  48  269,977005909078  1  0  0  0
128  121  48  274,143725206147  1  0  0  0
127  124  48  278,310680945295  1  0  0  0
126  120  48  282,477771681423  1  0  0  0
129  121  48  286,644614923087  1  0  0  0
125  121  48  290,811529215794  1  0  0  0
124  117  48  294,978514559543  1  0  0  0
123  117  48  299,145537402453  1  0  0  0
123  117  0  303,312477747208  1  0  0  0
124  117  48  303,312477747208  1  0  0  0
123  116  48  307,479227043606  1  0  0  0
123  116  0  311,686340437122  1  0  0  0
123  116  0  315,853311175934  1  0  0  0
123  116  47  320,020240468305  1  0  0  0
123  116  0  324,18728225816  1  0  0  0
123  116  0  328,35430510107  1  0  0  0
125  115  47  332,521009398474  1  0  0  0
125  115  47  336,687961190342  1  0  0  0
125  119  47  340,855059031574  1  0  0  0
124  118  46  345,02193582512  1  0  0  0
126  119  46  349,188715120846  1  0  0  0
124  119  46  353,355464417243  1  0  0  0
124  118  46  357,522573705588  1  0  0  0
127  117  46  361,689360501147  1  0  0  0
127  117  0  365,856481236604  1  0  0  0
123  115  45  370,023331583372  1  0  0  0
125  118  45  374,190114826379  1  0  0  0
126  116  0  382,523661970719  1  0  0  0
124  116  45  386,690759811952  1  0  0  0
124  114  45  390,857835548415  1  0  0  0
126  114  45  395,024738788738  1  0  0  0
124  118  45  399,191536636681  1  0  0  0
124  114  44  403,358548427206  1  0  0  0
123  118  44  407,525590217061  1  0  0  0
124  116  44  411,692272014968  1  0  0  0
122  117  44  415,859002364421  1  0  0  0
122  117  0  420,026108100214  1  0  0  0
124  117  44  424,192834897114  1  0  0  0
124  117  44  428,359651692002  1  0  0  0
122  118  44  432,526532038099  1  0  0  0
124  114  43  436,693348832987  1  0  0  0
126  118  43  440,860158128042  1  0  0  0
126  118  0  479,477443267716  1  0  0  0
123  115  43  479,477443267716  1  0  0  0
124  117  42  483,644354007871  1  0  0  0
124  117  42  487,811339746348  1  0  0  0
123  115  42  491,978295090768  1  0  0  0
123  116  42  500,311887234101  1  0  0  0
123  116  42  504,478966523117  1  0  0  0
121  116  42  508,645712266963  1  0  0  0
124  117  41  512,812458010808  1  0  0  0
124  114  42  516,97935730385  1  0  0  0
121  115  42  521,258090542712  1  0  0  0
