;;;;;;;;;;;th;SEQUENCING;DNROI;DNROI-OUT;NFIX;NFIX-OUT;DURATION;SEQUENCING;DNROI;DNROI-OUT;NFIX;NFIX-OUT;DURATION;
CTRL;CNG_fix_imm2;C:\Users\mimma\Desktop\CNG\43125BACED\DATA;10;51,49803317;99,03467918;25;13;746,84;regions\43125BACED;;1;10;51,49803317;99,03467918;25;13;746,84;0,064276139;0,061408147;0,684280096;0,000771101;0,000160319;0,074741145;TTEST
CTRL;CNG_fix_imm3;C:\Users\mimma\Desktop\CNG\CEABD42531\DATA;9;54,00041056;114,0008667;38;18;508,5526316;regions\CEABD42531;;;9;54,00041056;114,0008667;38;18;508,5526316;7,566666667;55,68571167;123,5628052;34;15,23333333;464,5745624;CTRL
CTRL;CNG_fix_imm4;C:\Users\mimma\Desktop\CNG\CEBAD42135\DATA;9;45,28143633;98,79586108;24;11;773;regions\CEBAD42135;;;9;45,28143633;98,79586108;24;11;773;6,918032787;64,0408575;124,6868807;43,95081967;21,96721311;397,7139072;PT
CTRL;MA_fix_imm1;C:\Users\mimma\Desktop\MA\42135CABED\DATA;10;42,65323599;120,8508353;51;18;363,1372549;regions\42135CABED;;;10;42,65323599;120,8508353;51;18;363,1372549;;;;;;;
CTRL;MA_fix_imm2;Controlli\MA\43125BACED\DATA;9;43,98158306;119,0089895;46;17;404,4130435;regions\43125BACED;;;9;43,98158306;119,0089895;46;17;404,4130435;;;;;;;
CTRL;MA_fix_imm3;Controlli\MA\DBEAC24531\DATA;9;50,67417934;122,6848552;46;19;405,7391304;regions\DBEAC24531;;;9;50,67417934;122,6848552;46;19;405,7391304;;;;;;;
CTRL;MA_fix_imm4;Controlli\MA\ECBAD42135\DATA;10;35,19152619;111,7848479;54;17;333,0925926;regions\ECBAD42135;;;10;35,19152619;111,7848479;54;17;333,0925926;;;;;;;
CTRL;BA_fix_imm1;Controlli\BA\42135CABED\DATA;8;64,39788712;136,8455101;34;16;550,4117647;regions\42135CABED;;;8;64,39788712;136,8455101;34;16;550,4117647;;;;;;;
CTRL;GD_fix_imm1;Controlli\GD\32451EDCAB\DATA;7;77,30818298;132,1720548;53;31;349,4339623;regions\32451EDCAB;;;7;77,30818298;132,1720548;53;31;349,4339623;;;;;;;
CTRL;GD_fix_imm2;Controlli\GD\42531EACBD\DATA;5;74,55150124;128,7707749;19;11;234;regions\42531EACBD;;;5;74,55150124;128,7707749;19;11;234;;;;;;;
CTRL;GD_fix_imm3;Controlli\GD\CABED42135\DATA;9;71,01811359;118,3635227;40;24;449,875;regions\CABED42135;;;9;71,01811359;118,3635227;40;24;449,875;;;;;;;
CTRL;GD_fix_imm4;Controlli\GD\DBEAC24531\DATA;0;-1;-1;0;0;-1;regions\DBEAC24531;;;;;;;;;;;;;;;
CTRL;MD_fix_imm1;Controlli\MD\1, 42135CABED\DATA;7;50,19269216;139,4241449;25;9;380,24;regions\42135CABED;;;7;50,19269216;139,4241449;25;9;380,24;;;;;;;
CTRL;MD_fix_imm2;Controlli\MD\2, 43215DECAB\DATA;7;16,47240103;111,1887069;27;4;300,2222222;regions\43215DECAB;;;7;16,47240103;111,1887069;27;4;300,2222222;;; ;;;;
CTRL;MD_fix_imm3;Controlli\MD\3, CABED42135\DATA;6;36,94720954;110,8416286;21;7;423,8095238;regions\CABED42135;;;6;36,94720954;110,8416286;21;7;423,8095238;;;;;;;
CTRL;MD_fix_imm4;Controlli\MD\4, DCAEB35412\DATA;5;51,73456822;141,094277;30;11;310,2;regions\DCAEB35412;;;5;51,73456822;141,094277;30;11;310,2;;;;;;;
CTRL;LG_fix_imm2;Controlli\LG\2, 43251EADCB\DATA;10;44,74657852;120,4715576;35;13;269,4571429;regions\43251EADCB;;;10;44,74657852;120,4715576;35;13;269,4571429;;;;;;;
CTRL;LG_fix_imm3;Controlli\LG\3, CABED42135\DATA;8;63,9653451;124,7324229;39;20;233,8717949;regions\CABED42135;;;8;63,9653451;124,7324229;39;20;233,8717949;;;;;;;
CTRL;LG_fix_imm4;Controlli\LG\4, CEBAD42135\DATA;7;83,13648446;124,7047267;36;24;257;regions\CEBAD42135;;;7;83,13648446;124,7047267;36;24;257;;;;;;;
CTRL;ZD_fix_imm1;ZD-42531EACBD-prova2-14,2,2018;7;47,88320113;117,8663412;32;13;286,0625;regions\42531EACBD;;;7;47,88320113;117,8663412;32;13;286,0625;;;;;;;
CTRL;ZD_fix_imm2;ZD-34251BADCE-prova4-14,2,2018;7;45,04933712;125,1370476;25;9;368,32;regions\34251BADCE;;;7;45,04933712;125,1370476;25;9;368,32;;;;;;;
CTRL;ZD_fix_imm3;ZD-34251BADCE-prova6-14,2,18;5;84,39942138;135,7729822;37;23;246,3783784;regions\34251BADCE;;;5;84,39942138;135,7729822;37;23;246,3783784;;;;;;;
CTRL;ZD_fix_imm4;ZD-DCAEB35412-prova8-14,2,2018;8;37,58473683;108,9957368;29;10;321,9310345;regions\DCAEB35412;;;8;37,58473683;108,9957368;29;10;321,9310345;;;;;;;
CTRL;GA_fix_imm1;GA-43125BACED-prova2-21,2,18;7;53,19045151;119,6785159;27;12;712,2222222;regions\43125BACED;;;7;53,19045151;119,6785159;27;12;712,2222222;;;;;;;
CTRL;GA_fix_imm2;GA-42135CABED-prova4-21,2,18;6;68,98079861;157,6703968;16;7;1221,1875;regions\42135CABED;;;6;68,98079861;157,6703968;16;7;1221,1875;;;;;;;
CTRL;GA_fix_imm3;GA-CEABD42531-prova6-21,2,18;7;58,02491122;133,9036413;30;13;603,4333333;regions\CEABD42531;;;7;58,02491122;133,9036413;30;13;603,4333333;;;;;;;
CTRL;GA_fix_imm4;GA-ECBAD42135-prova8-21,2,18;6;84,83007163;147,0387908;26;15;729,7692308;regions\ECBAD42135;;;6;84,83007163;147,0387908;26;15;729,7692308;;;;;;;
CTRL;CNG_fix_imm1;Controlli\CNG\32451EDCAB\DATA;9;57,55652324;102,7795058;25;14;771,36;regions\32451EDCAB;;;9;57,55652324;102,7795058;25;14;771,36;;;;;;;
CTRL;BA_fix_imm2;BA-CEBAD42135-prova4-21,2,18;8;60,5879887;121,1759774;34;17;572,0588235;regions\CEBAD42135;;;8;60,5879887;121,1759774;34;17;572,0588235;;;;;;;
CTRL;BA_fix_imm3;BA-CEABD42531-prova6-30,04,2018;5;63,45701557;126,9140311;38;19;498,6315789;regions\CEABD42531;;;5;63,45701557;126,9140311;38;19;498,6315789;;;;;;;
CTRL;BA_fix_imm4;BA-ECBAD42135-prova8;7;51,27552463;135,1809286;58;22;312,5862069;regions\ECBAD42135;;;7;51,27552463;135,1809286;58;22;312,5862069;;;;;;;
CTRL-N;NON CONSIDERARE;Controlli\BA\43125BACED\DATA;0;148,7983134;148,7983134;1;1;148,7983134;regions\43125BACED;;;;;;;;;;;;;;;
CTRL-N;NON CONSIDERARE;Controlli\BA\CEBAD42135\DATA;0;163,6966739;163,6966739;1;1;163,6966739;regions\CEBAD42135;;;;;;;;;;;;;;;
CTRL-N;SS_fix_imm1;Controlli\SS\34251BADCE\DATA;8;64,63189614;115,125565;57;32;319,3859649;regions\34251BADCE;;;8;64,63189614;115,125565;57;32;319,3859649;;;;;;;
CTRL-N;SS_fix_imm2;Controlli\SS\CABED42135\DATA;1;173,0292081;173,0292081;7;7;229,5714286;regions\CABED42135;;;1;173,0292081;173,0292081;7;7;229,5714286;;;;;;;
CTRL-N;SS_fix_imm3;Controlli\SS\DBAEC34521\DATA;8;73,00236961;130,0354709;57;32;312,4561404;regions\DBAEC34521;;;8;73,00236961;130,0354709;57;32;312,4561404;;;;;;;
CTRL-N;SS_fix_imm4;Controlli\SS\ZZZZZZZZZZ\DATA;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;;;;;;
CTRL-N;LG_fix_imm1;Controlli\LG\1, 34251BADCE\DATA;2;107,9555171;140,3421722;13;10;755,3076923;regions\34251BADCE;;;2;107,9555171;140,3421722;13;10;755,3076923;;;;;;;
CTRL-N;RB_fix_imm1;Controlli\RB\1, 42135CABED\DATA;1;112,5317077;126,0355127;28;25;303,7142857;regions\42135CABED;;;1;112,5317077;126,0355127;28;25;303,7142857;;;;;;;
CTRL-N;RB_fix_imm2;Controlli\RB\2, 42531EACBD\DATA;2;116,8156423;124,6033518;32;30;280;regions\42531EACBD;;;2;116,8156423;124,6033518;32;30;280;;;;;;;
CTRL-N;RB_fix_imm3;Controlli\RB\3, CABED42135\DATA;1;128,5343491;133,6757231;26;25;364,1923077;regions\CABED42135;;;1;128,5343491;133,6757231;26;25;364,1923077;;;;;;;
CTRL-N;RB_fix_imm4;Controlli\RB\4, DBAEC43521\DATA;1;121,03272;126,07575;25;24;356,48;regions\DBAEC43521;;;1;121,03272;126,07575;25;24;356,48;;;;;;;
PT;FG_fix_imm1;Pazienti\FG\42531EACBD\DATA;7;85,36961884;145,4445358;46;27;404,5434783;regions\42531EACBD;;;7;85,36961884;145,4445358;46;27;404,5434783;;;;;;;
PT;FG_fix_imm2;Pazienti\FG\43521EACBD\DATA;4;111,600026;147,3120343;33;25;558,1515152;regions\43521EACBD;;;4;111,600026;147,3120343;33;25;558,1515152;;;;;;;
PT;FG_fix_imm3;Pazienti\FG\CABED42135\DATA;9;40,42091043;110,6256496;52;19;349,8461538;regions\CABED42135;;;9;40,42091043;110,6256496;52;19;349,8461538;;;;;;;
PT;FG_fix_imm4;Pazienti\FG\DBEAC34521\DATA;9;39,36808682;101,2322232;54;21;321,8518519;regions\DBEAC34521;;;9;39,36808682;101,2322232;54;21;321,8518519;;;;;;;
PT;DTR_fix_imm1;Pazienti\DTR\43215DECAB\DATA;4;77,65682468;116,485237;15;10;626,5333333;regions\43215DECAB;;;4;77,65682468;116,485237;15;10;626,5333333;;;;;;;
PT;DTR_fix_imm4;Pazienti\DTR\ECBAD42135\DATA;4;60,62287001;121,24574;22;11;426,7727273;regions\ECBAD42135;;;4;60,62287001;121,24574;22;11;426,7727273;;;;;;;
PT;GG_fix_imm1;Pazienti\GG\43125BACED\DATA;8;56,16867612;124,8192803;60;27;304,3833333;regions\43125BACED;;;8;56,16867612;124,8192803;60;27;304,3833333;;;;;;;
PT;GG_fix_imm2;Pazienti\GG\43521EACBD\DATA;8;56,022025;122,4184991;59;27;301,3559322;regions\43521EACBD;;;8;56,022025;122,4184991;59;27;301,3559322;;;;;;;
PT;GG_fix_imm3;Pazienti\GG\CABED42135\DATA;8;67,91935639;133,4130215;55;28;324,1636364;regions\CABED42135;;;8;67,91935639;133,4130215;55;28;324,1636364;;;;;;;
PT;GG_fix_imm4;Pazienti\GG\CEABD42531\DATA;7;63,24321898;120,9870276;44;23;413,5454545;regions\CEABD42531;;;7;63,24321898;120,9870276;44;23;413,5454545;;;;;;;
PT;PA_fix_imm1;Pazienti\PA\42531EADBC\DATA;4;87,98054645;122,5443325;39;28;492,5128205;regions\42531EADBC;;;4;87,98054645;122,5443325;39;28;492,5128205;;;;;;;
PT;PA_fix_imm2;Pazienti\PA\43125BACED\DATA;7;67,88365459;107,9967232;35;22;546,2285714;regions\43125BACED;;;7;67,88365459;107,9967232;35;22;546,2285714;;;;;;;
PT;PA_fix_imm3;Pazienti\PA\CEBAD42135\DATA;7;86,7383207;110,8322987;46;36;403,5652174;regions\CEBAD42135;;;7;86,7383207;110,8322987;46;36;403,5652174;;;;;;;
PT;PA_fix_imm4;Pazienti\PA\DCAEB35412\DATA;6;86,6019251;113,819673;46;35;319,826087;regions\DCAEB35412;;;6;86,6019251;113,819673;46;35;319,826087;;;;;;;
PT;OM_fix_imm3;Pazienti\OM\DBEAC24531\DATA;5;33,47875595;109,3639361;49;15;366,5306122;regions\DBEAC24531;;;5;33,47875595;109,3639361;49;15;366,5306122;;;;;;;
PT;OM_fix_imm4;Pazienti\OM\ECBAD42135\DATA;4;58,43180382;140,2363292;24;10;764,75;regions\ECBAD42135;;;4;58,43180382;140,2363292;24;10;764,75;;;;;;;
PT;SG_fix_imm1;Pazienti\SG\42135CABED\DATA;8;84,70183467;137,6404813;52;32;342,2115385;regions\42135CABED;;;8;84,70183467;137,6404813;52;32;342,2115385;;;;;;;
